Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node3,1.4908333333333335,0.6333333333333333,2.14,2.13,0.0,0.0,4.12,8.26,0.0,0.0081,0.0,createSchema_report_120_20250326-082551.html,120
/node1,1.3425,0.6224999999999999,3.02,3.01,0.0,0.0,5.37,3.05,0.0,0.003,0.0,createSchema_report_120_20250326-082551.html,120
/node4,1.0658333333333332,0.3958333333333333,2.28,2.25,0.0,0.0,4.13,7.15,0.0,0.007,0.0,createSchema_report_120_20250326-082551.html,120
/node2,1.0341666666666667,0.585,2.39,2.39,0.0,0.0,4.8,5.9,0.0,0.0058,0.0,createSchema_report_120_20250326-082551.html,120
/node6,1.0116666666666667,0.4658333333333333,4.16,4.16,0.0,0.0,8.91,3.35,0.0,0.0033,0.0,createSchema_report_120_20250326-082551.html,120
/node5,1.0083333333333333,0.4466666666666667,2.94,2.94,0.0,0.0,4.76,4.97,0.0,0.0049,0.0,createSchema_report_120_20250326-082551.html,120
/node3,1.4908333333333335,0.6333333333333333,2.14,2.13,0.0,0.0,4.12,8.26,0.0,0.0081,0.0,createSchema_report_120_20250326-082551.html,120
/node1,1.3425,0.6224999999999999,3.02,3.01,0.0,0.0,5.37,3.05,0.0,0.003,0.0,createSchema_report_120_20250326-082551.html,120
/node4,0.08416666666666667,0.034166666666666665,2.27,2.27,0.0,0.0,6.09,6.95,0.0,0.0068,0.0,createSchema_report_40_20250326-082403.html,40
/node2,0.105,0.0375,2.39,2.39,0.0,0.0,5.82,4.16,0.0,0.0041,0.0,createSchema_report_40_20250326-082403.html,40
/node6,0.10916666666666668,0.04083333333333333,4.15,4.15,0.0,0.0,4.85,3.28,0.0,0.0032,0.0,createSchema_report_40_20250326-082403.html,40
/node5,0.09666666666666666,0.035833333333333335,2.93,2.93,0.0,0.0,2.05,7.31,0.0,0.0071,0.0,createSchema_report_40_20250326-082403.html,40
/node3,0.105,0.034999999999999996,2.12,2.11,0.0,0.0,5.82,5.76,0.0,0.0056,0.0,createSchema_report_40_20250326-082403.html,40
/node1,0.15416666666666667,0.04833333333333333,3.36,3.21,0.0,0.0,5.92,11.9,0.0,0.0116,0.0,createSchema_report_40_20250326-082403.html,40
/node4,0.08416666666666667,0.034166666666666665,2.27,2.27,0.0,0.0,6.09,6.95,0.0,0.0068,0.0,createSchema_report_40_20250326-082403.html,40
/node2,0.105,0.0375,2.39,2.39,0.0,0.0,5.82,4.16,0.0,0.0041,0.0,createSchema_report_40_20250326-082403.html,40
/node6,0.10916666666666668,0.04083333333333333,4.15,4.15,0.0,0.0,4.85,3.28,0.0,0.0032,0.0,createSchema_report_40_20250326-082403.html,40
/node5,0.09666666666666666,0.035833333333333335,2.93,2.93,0.0,0.0,2.05,7.31,0.0,0.0071,0.0,createSchema_report_40_20250326-082403.html,40
/node3,0.105,0.034999999999999996,2.12,2.11,0.0,0.0,5.82,5.76,0.0,0.0056,0.0,createSchema_report_40_20250326-082403.html,40
/node1,0.15416666666666667,0.04833333333333333,3.36,3.21,0.0,0.0,5.92,11.9,0.0,0.0116,0.0,createSchema_report_40_20250326-082403.html,40
/node4,0.09250000000000001,0.04583333333333334,2.08,2.08,0.0,0.0,7.34,0.699,0.0,0.0007,0.0,createSchema_report_40_20250326-021735.html,40
/node2,0.10333333333333333,0.034999999999999996,2.27,2.27,0.0,0.0,3.76,0.844,0.0,0.0008,0.0,createSchema_report_40_20250326-021735.html,40
/node6,0.1025,0.03666666666666667,2.01,2.01,0.0,0.0,3.73,1.5,0.0,0.0015,0.0,createSchema_report_40_20250326-021735.html,40
/node5,0.10416666666666667,0.035833333333333335,2.03,2.03,0.0,0.0,5.28,0.633,0.0,0.0006,0.0,createSchema_report_40_20250326-021735.html,40
/node3,0.09916666666666667,0.03833333333333334,2.03,2.03,0.0,0.0,3.75,0.777,0.0,0.0008,0.0,createSchema_report_40_20250326-021735.html,40
