Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,0.165,0.06,1.78,1.78,0.0,0.0,6.75,0.00781,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-020537.html,80
/node2,0.1925,0.0566666666666666,2.6,2.56,0.0,0.0,6.21,0.0547,0.0,0.0001,0.0,createOrUpdateEntry_report_80_20250326-020537.html,80
/node6,0.1925,0.0566666666666666,1.79,1.78,0.0,0.0,42.9,31.2,0.0,0.0305,0.0,createOrUpdateEntry_report_80_20250326-020537.html,80
/node5,0.1983333333333333,0.0625,1.77,1.77,0.0,0.0,6.62,0.00391,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-020537.html,80
/node3,0.1766666666666666,0.0525,1.79,1.79,0.0,0.0,6.74,0.0117,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-020537.html,80
/node1,0.3633333333333333,0.1033333333333333,3.03,3.03,0.0,0.0,5.71,0.25,0.0,0.0002,0.0,createOrUpdateEntry_report_80_20250326-020537.html,80
/node4,0.165,0.06,1.78,1.78,0.0,0.0,6.75,0.00781,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-020537.html,80
/node2,0.1925,0.0566666666666666,2.6,2.56,0.0,0.0,6.21,0.0547,0.0,0.0001,0.0,createOrUpdateEntry_report_80_20250326-020537.html,80
/node6,0.1925,0.0566666666666666,1.79,1.78,0.0,0.0,42.9,31.2,0.0,0.0305,0.0,createOrUpdateEntry_report_80_20250326-020537.html,80
/node5,0.1983333333333333,0.0625,1.77,1.77,0.0,0.0,6.62,0.00391,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-020537.html,80
/node3,0.1766666666666666,0.0525,1.79,1.79,0.0,0.0,6.74,0.0117,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-020537.html,80
/node1,0.3633333333333333,0.1033333333333333,3.03,3.03,0.0,0.0,5.71,0.25,0.0,0.0002,0.0,createOrUpdateEntry_report_80_20250326-020537.html,80
/node4,0.5766666666666667,0.29,2.26,2.26,0.0,0.0,0.332,0.0,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-083400.html,80
/node2,0.2299999999999999,0.0733333333333333,2.32,2.32,0.0,0.0,1.24,2.48,0.0,0.0024,0.0,createOrUpdateEntry_report_80_20250326-083400.html,80
/node6,0.155,0.0541666666666666,4.15,4.15,0.0,0.0,1.18,0.0,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-083400.html,80
/node5,0.1733333333333333,0.0633333333333333,2.62,2.62,0.0,0.0,2.02,0.379,0.0,0.0004,0.0,createOrUpdateEntry_report_80_20250326-083400.html,80
/node3,0.5966666666666667,0.1666666666666666,2.13,2.13,0.0,0.0,1.21,0.816,0.0,0.0008,0.0,createOrUpdateEntry_report_80_20250326-083400.html,80
/node1,0.5608333333333334,0.1583333333333333,2.76,2.76,0.0,0.0,1.41,0.367,0.0,0.0004,0.0,createOrUpdateEntry_report_80_20250326-083400.html,80
/node4,0.5766666666666667,0.29,2.26,2.26,0.0,0.0,0.332,0.0,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-083400.html,80
/node2,0.2299999999999999,0.0733333333333333,2.32,2.32,0.0,0.0,1.24,2.48,0.0,0.0024,0.0,createOrUpdateEntry_report_80_20250326-083400.html,80
/node6,0.155,0.0541666666666666,4.15,4.15,0.0,0.0,1.18,0.0,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-083400.html,80
/node5,0.1733333333333333,0.0633333333333333,2.62,2.62,0.0,0.0,2.02,0.379,0.0,0.0004,0.0,createOrUpdateEntry_report_80_20250326-083400.html,80
/node3,0.5966666666666667,0.1666666666666666,2.13,2.13,0.0,0.0,1.21,0.816,0.0,0.0008,0.0,createOrUpdateEntry_report_80_20250326-083400.html,80
/node1,0.5608333333333334,0.1583333333333333,2.76,2.76,0.0,0.0,1.41,0.367,0.0,0.0004,0.0,createOrUpdateEntry_report_80_20250326-083400.html,80
/node4,0.1741666666666666,0.0625,2.19,2.19,0.0,0.0,0.527,0.0156,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-102936.html,80
/node2,0.1725,0.0525,2.14,2.14,0.0,0.0,1.57,0.0313,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-102936.html,80
/node6,0.1741666666666666,0.0908333333333333,2.19,2.19,0.0,0.0,1.1,0.488,0.0,0.0005,0.0,createOrUpdateEntry_report_80_20250326-102936.html,80
/node5,0.1641666666666666,0.0533333333333333,2.11,2.11,0.0,0.0,1.41,0.875,0.0,0.0009,0.0,createOrUpdateEntry_report_80_20250326-102936.html,80
/node3,0.265,0.0791666666666666,2.06,2.06,0.0,0.0,1.36,1.02,0.0,0.001,0.0,createOrUpdateEntry_report_80_20250326-102936.html,80
/node1,0.1666666666666666,0.0516666666666666,2.17,2.17,0.0,0.0,0.0156,0.633,0.0,0.0006,0.0,createOrUpdateEntry_report_80_20250326-102936.html,80
/node4,0.1741666666666666,0.0625,2.19,2.19,0.0,0.0,0.527,0.0156,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-102936.html,80
/node2,0.1725,0.0525,2.14,2.14,0.0,0.0,1.57,0.0313,0.0,0.0,0.0,createOrUpdateEntry_report_80_20250326-102936.html,80
/node6,0.1741666666666666,0.0908333333333333,2.19,2.19,0.0,0.0,1.1,0.488,0.0,0.0005,0.0,createOrUpdateEntry_report_80_20250326-102936.html,80
/node5,0.1641666666666666,0.0533333333333333,2.11,2.11,0.0,0.0,1.41,0.875,0.0,0.0009,0.0,createOrUpdateEntry_report_80_20250326-102936.html,80
/node3,0.265,0.0791666666666666,2.06,2.06,0.0,0.0,1.36,1.02,0.0,0.001,0.0,createOrUpdateEntry_report_80_20250326-102936.html,80
/node1,0.1666666666666666,0.0516666666666666,2.17,2.17,0.0,0.0,0.0156,0.633,0.0,0.0006,0.0,createOrUpdateEntry_report_80_20250326-102936.html,80
/node4,0.2241666666666666,0.0699999999999999,2.02,2.02,0.0,0.0,1.34,0.992,0.0,0.001,0.0,createOrUpdateEntry_report_80_20250326-101505.html,80
/node2,0.215,0.0616666666666666,2.22,2.22,0.0,0.0,1.41,1.46,0.0,0.0014,0.0,createOrUpdateEntry_report_80_20250326-101505.html,80
