Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,0.235,0.1058333333333333,1.91,1.91,0.0,0.0,1.95,0.992,0.0,0.001,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node2,1.2075,0.3725,1.95,1.95,0.0,0.0,1.99,1.25,0.0,0.0012,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node6,0.26,0.1266666666666666,2.82,2.77,0.0,0.0,1.83,112.0,0.0,0.1094,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node5,0.2816666666666667,0.1225,2.0,2.0,0.0,0.0,0.309,0.145,0.0,0.0001,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node3,0.2733333333333333,0.1291666666666666,1.9,1.9,0.0,0.0,1.96,0.777,0.0,0.0008,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node1,0.8741666666666666,0.2866666666666667,2.68,2.68,0.0,0.0,2.07,1.92,0.0,0.0019,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node4,0.235,0.1058333333333333,1.91,1.91,0.0,0.0,1.95,0.992,0.0,0.001,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node2,1.2075,0.3725,1.95,1.95,0.0,0.0,1.99,1.25,0.0,0.0012,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node6,0.26,0.1266666666666666,2.82,2.77,0.0,0.0,1.83,112.0,0.0,0.1094,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node5,0.2816666666666667,0.1225,2.0,2.0,0.0,0.0,0.309,0.145,0.0,0.0001,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node3,0.2733333333333333,0.1291666666666666,1.9,1.9,0.0,0.0,1.96,0.777,0.0,0.0008,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node1,0.8741666666666666,0.2866666666666667,2.68,2.68,0.0,0.0,2.07,1.92,0.0,0.0019,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node4,0.1908333333333333,0.065,1.78,1.78,0.0,0.0,1.45,0.0,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-020247.html,80
/node2,0.2141666666666666,0.0683333333333333,2.72,2.72,0.0,0.0,1.45,0.0,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-020247.html,80
/node6,0.1925,0.0658333333333333,1.78,1.78,0.0,0.0,1.45,0.0,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-020247.html,80
/node5,0.2083333333333333,0.0675,1.76,1.76,0.0,0.0,0.344,0.0,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-020247.html,80
/node3,0.2041666666666667,0.0675,1.79,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-020247.html,80
/node1,0.3033333333333333,0.0991666666666666,3.03,3.03,0.0,0.0,1.63,476.0,0.0,0.4648,0.0,createRevocationRegistry_report_80_20250326-020247.html,80
/node4,0.1908333333333333,0.065,1.78,1.78,0.0,0.0,1.45,0.0,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-020247.html,80
/node2,0.2141666666666666,0.0683333333333333,2.72,2.72,0.0,0.0,1.45,0.0,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-020247.html,80
/node6,0.1925,0.0658333333333333,1.78,1.78,0.0,0.0,1.45,0.0,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-020247.html,80
/node5,0.2083333333333333,0.0675,1.76,1.76,0.0,0.0,0.344,0.0,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-020247.html,80
/node3,0.2041666666666667,0.0675,1.79,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-020247.html,80
/node1,0.3033333333333333,0.0991666666666666,3.03,3.03,0.0,0.0,1.63,476.0,0.0,0.4648,0.0,createRevocationRegistry_report_80_20250326-020247.html,80
/node4,0.165,0.0508333333333333,2.12,2.12,0.0,0.0,1.66,0.0,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-022448.html,80
/node2,0.1683333333333333,0.0583333333333333,2.18,2.18,0.0,0.0,1.5,8.0,0.0,0.0078,0.0,createRevocationRegistry_report_80_20250326-022448.html,80
/node6,0.1708333333333333,0.0658333333333333,2.02,2.02,0.0,0.0,1.48,20.0,0.0,0.0195,0.0,createRevocationRegistry_report_80_20250326-022448.html,80
/node5,0.1508333333333333,0.0516666666666666,2.06,2.06,0.0,0.0,3.77,4.0,0.0,0.0039,0.0,createRevocationRegistry_report_80_20250326-022448.html,80
/node3,0.165,0.0499999999999999,2.04,2.04,0.0,0.0,1.49,64.0,0.0,0.0625,0.0,createRevocationRegistry_report_80_20250326-022448.html,80
/node1,0.2591666666666666,0.0766666666666666,3.4,3.4,0.0,0.0,0.488,348.0,0.0,0.3398,0.0,createRevocationRegistry_report_80_20250326-022448.html,80
/node4,0.165,0.0508333333333333,2.12,2.12,0.0,0.0,1.66,0.0,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-022448.html,80
/node2,0.1683333333333333,0.0583333333333333,2.18,2.18,0.0,0.0,1.5,8.0,0.0,0.0078,0.0,createRevocationRegistry_report_80_20250326-022448.html,80
/node6,0.1708333333333333,0.0658333333333333,2.02,2.02,0.0,0.0,1.48,20.0,0.0,0.0195,0.0,createRevocationRegistry_report_80_20250326-022448.html,80
/node5,0.1508333333333333,0.0516666666666666,2.06,2.06,0.0,0.0,3.77,4.0,0.0,0.0039,0.0,createRevocationRegistry_report_80_20250326-022448.html,80
/node3,0.165,0.0499999999999999,2.04,2.04,0.0,0.0,1.49,64.0,0.0,0.0625,0.0,createRevocationRegistry_report_80_20250326-022448.html,80
/node1,0.2591666666666666,0.0766666666666666,3.4,3.4,0.0,0.0,0.488,348.0,0.0,0.3398,0.0,createRevocationRegistry_report_80_20250326-022448.html,80
/node4,0.1491666666666666,0.0816666666666666,2.26,2.26,0.0,0.0,0.0,0.0938,0.0,0.0001,0.0,createRevocationRegistry_report_80_20250326-083110.html,80
/node2,0.1808333333333333,0.0541666666666666,2.41,2.4,0.0,0.0,1.66,0.48,0.0,0.0005,0.0,createRevocationRegistry_report_80_20250326-083110.html,80
/node6,0.1591666666666666,0.0516666666666666,4.17,4.17,0.0,0.0,0.0,0.0469,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-083110.html,80
/node5,0.1833333333333333,0.0558333333333333,2.79,2.77,0.0,0.0,1.48,0.0469,0.0,0.0,0.0,createRevocationRegistry_report_80_20250326-083110.html,80
/node3,0.1641666666666666,0.0516666666666666,2.15,2.15,0.0,0.0,0.652,1.5,0.0,0.0015,0.0,createRevocationRegistry_report_80_20250326-083110.html,80
/node1,0.2566666666666666,0.0758333333333333,2.78,2.78,0.0,0.0,1.63,0.41,0.0,0.0004,0.0,createRevocationRegistry_report_80_20250326-083110.html,80
/node4,0.1491666666666666,0.0816666666666666,2.26,2.26,0.0,0.0,0.0,0.0938,0.0,0.0001,0.0,createRevocationRegistry_report_80_20250326-083110.html,80
