Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,1.4008333333333332,0.3899999999999999,1.96,1.95,0.0,0.0,2.04,0.621,0.0,0.0006,0.0,createSchema_report_60_20250326-100539.html,60
/node2,0.1275,0.0633333333333333,2.08,2.08,0.0,0.0,2.02,0.68,0.0,0.0007,0.0,createSchema_report_60_20250326-100539.html,60
/node6,0.1341666666666666,0.0441666666666666,2.0,2.0,0.0,0.0,8.66,2.51,0.0,0.0025,0.0,createSchema_report_60_20250326-100539.html,60
/node5,0.1374999999999999,0.0441666666666666,2.07,2.07,0.0,0.0,2.05,0.375,0.0,0.0004,0.0,createSchema_report_60_20250326-100539.html,60
/node3,0.7116666666666666,0.2366666666666666,2.23,2.22,0.0,0.0,0.0,1.06,0.0,0.001,0.0,createSchema_report_60_20250326-100539.html,60
/node1,0.1275,0.0525,2.35,2.34,0.0,0.0,8.7,6.39,0.0,0.0062,0.0,createSchema_report_60_20250326-100539.html,60
/node4,1.4008333333333332,0.3899999999999999,1.96,1.95,0.0,0.0,2.04,0.621,0.0,0.0006,0.0,createSchema_report_60_20250326-100539.html,60
/node2,0.1275,0.0633333333333333,2.08,2.08,0.0,0.0,2.02,0.68,0.0,0.0007,0.0,createSchema_report_60_20250326-100539.html,60
/node6,0.1341666666666666,0.0441666666666666,2.0,2.0,0.0,0.0,8.66,2.51,0.0,0.0025,0.0,createSchema_report_60_20250326-100539.html,60
/node5,0.1374999999999999,0.0441666666666666,2.07,2.07,0.0,0.0,2.05,0.375,0.0,0.0004,0.0,createSchema_report_60_20250326-100539.html,60
/node3,0.7116666666666666,0.2366666666666666,2.23,2.22,0.0,0.0,0.0,1.06,0.0,0.001,0.0,createSchema_report_60_20250326-100539.html,60
/node1,0.1275,0.0525,2.35,2.34,0.0,0.0,8.7,6.39,0.0,0.0062,0.0,createSchema_report_60_20250326-100539.html,60
/node4,0.7616666666666667,0.2283333333333333,2.27,2.27,0.0,0.0,2.39,1.0,0.0,0.001,0.0,createSchema_report_60_20250326-082429.html,60
/node2,1.2491666666666668,0.3566666666666667,2.39,2.39,0.0,0.0,8.1,4.05,0.0,0.004,0.0,createSchema_report_60_20250326-082429.html,60
/node6,0.7458333333333332,0.2225,4.15,4.15,0.0,0.0,11.9,0.152,0.0,0.0001,0.0,createSchema_report_60_20250326-082429.html,60
/node5,0.8525,0.2491666666666666,2.93,2.93,0.0,0.0,2.64,3.57,0.0,0.0035,0.0,createSchema_report_60_20250326-082429.html,60
