Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node3,0.6875,0.3,1.78,1.78,0.0,0.0,2.48,0.453,0.0,0.0004,0.0,createSchema_report_20_20250326-015519.html,20
/node1,0.5833333333333334,0.2816666666666667,3.03,3.03,0.0,0.0,0.0,2.01,0.0,0.002,0.0,createSchema_report_20_20250326-015519.html,20
/node4,0.0708333333333333,0.0291666666666666,1.76,1.76,0.0,0.0,0.785,0.527,0.0,0.0005,0.0,createSchema_report_20_20250326-015519.html,20
/node2,0.4891666666666667,0.15,2.85,2.85,0.0,0.0,0.0,2.42,0.0,0.0024,0.0,createSchema_report_20_20250326-015519.html,20
/node6,0.9775,0.3741666666666667,1.85,1.85,0.0,0.0,2.45,0.449,0.0,0.0004,0.0,createSchema_report_20_20250326-015519.html,20
/node5,0.8258333333333333,0.3349999999999999,1.78,1.78,0.0,0.0,2.53,2.31,0.0,0.0023,0.0,createSchema_report_20_20250326-015519.html,20
/node3,0.6875,0.3,1.78,1.78,0.0,0.0,2.48,0.453,0.0,0.0004,0.0,createSchema_report_20_20250326-015519.html,20
/node1,0.5833333333333334,0.2816666666666667,3.03,3.03,0.0,0.0,0.0,2.01,0.0,0.002,0.0,createSchema_report_20_20250326-015519.html,20
/node4,0.0499999999999999,0.0275,2.27,2.27,0.0,0.0,3.58,24.2,0.0,0.0236,0.0,createSchema_report_20_20250326-082339.html,20
/node2,0.0725,0.0258333333333333,2.38,2.38,0.0,0.0,2.64,4.35,0.0,0.0042,0.0,createSchema_report_20_20250326-082339.html,20
/node6,0.0491666666666666,0.0208333333333333,4.15,4.15,0.0,0.0,0.0,21.9,0.0,0.0214,0.0,createSchema_report_20_20250326-082339.html,20
/node5,0.0491666666666666,0.0241666666666666,2.93,2.92,0.0,0.0,1.89,20.6,0.0,0.0201,0.0,createSchema_report_20_20250326-082339.html,20
/node3,0.0508333333333333,0.0208333333333333,2.11,2.11,0.0,0.0,3.38,26.4,0.0,0.0258,0.0,createSchema_report_20_20250326-082339.html,20
/node1,0.0766666666666666,0.0316666666666666,3.44,3.43,0.0,0.0,4.62,29.3,0.0,0.0286,0.0,createSchema_report_20_20250326-082339.html,20
/node4,0.0499999999999999,0.0275,2.27,2.27,0.0,0.0,3.58,24.2,0.0,0.0236,0.0,createSchema_report_20_20250326-082339.html,20
/node2,0.0725,0.0258333333333333,2.38,2.38,0.0,0.0,2.64,4.35,0.0,0.0042,0.0,createSchema_report_20_20250326-082339.html,20
/node6,0.0491666666666666,0.0208333333333333,4.15,4.15,0.0,0.0,0.0,21.9,0.0,0.0214,0.0,createSchema_report_20_20250326-082339.html,20
/node5,0.0491666666666666,0.0241666666666666,2.93,2.92,0.0,0.0,1.89,20.6,0.0,0.0201,0.0,createSchema_report_20_20250326-082339.html,20
/node3,0.0508333333333333,0.0208333333333333,2.11,2.11,0.0,0.0,3.38,26.4,0.0,0.0258,0.0,createSchema_report_20_20250326-082339.html,20
/node1,0.0766666666666666,0.0316666666666666,3.44,3.43,0.0,0.0,4.62,29.3,0.0,0.0286,0.0,createSchema_report_20_20250326-082339.html,20
