Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,0.9733333333333332,0.4216666666666666,2.28,2.28,0.0,0.0,12.5,1.93,0.0,0.0019,0.0,createSchema_report_100_20250326-082521.html,100
/node2,1.0475,0.5833333333333334,2.39,2.39,0.0,0.0,6.59,1.24,0.0,0.0012,0.0,createSchema_report_100_20250326-082521.html,100
/node6,0.9658333333333332,0.4083333333333334,4.16,4.15,0.0,0.0,4.74,1.48,0.0,0.0014,0.0,createSchema_report_100_20250326-082521.html,100
/node5,1.0066666666666666,0.4116666666666667,2.94,2.93,0.0,0.0,5.01,3.54,0.0,0.0035,0.0,createSchema_report_100_20250326-082521.html,100
/node3,0.9441666666666668,0.4083333333333334,2.13,2.12,0.0,0.0,12.5,5.66,0.0,0.0055,0.0,createSchema_report_100_20250326-082521.html,100
/node1,0.9608333333333332,0.4466666666666667,3.02,3.01,0.0,0.0,16.1,4.44,0.0,0.0043,0.0,createSchema_report_100_20250326-082521.html,100
/node4,0.9733333333333332,0.4216666666666666,2.28,2.28,0.0,0.0,12.5,1.93,0.0,0.0019,0.0,createSchema_report_100_20250326-082521.html,100
/node2,1.0475,0.5833333333333334,2.39,2.39,0.0,0.0,6.59,1.24,0.0,0.0012,0.0,createSchema_report_100_20250326-082521.html,100
/node6,0.9658333333333332,0.4083333333333334,4.16,4.15,0.0,0.0,4.74,1.48,0.0,0.0014,0.0,createSchema_report_100_20250326-082521.html,100
/node5,1.0066666666666666,0.4116666666666667,2.94,2.93,0.0,0.0,5.01,3.54,0.0,0.0035,0.0,createSchema_report_100_20250326-082521.html,100
/node3,0.9441666666666668,0.4083333333333334,2.13,2.12,0.0,0.0,12.5,5.66,0.0,0.0055,0.0,createSchema_report_100_20250326-082521.html,100
/node1,0.9608333333333332,0.4466666666666667,3.02,3.01,0.0,0.0,16.1,4.44,0.0,0.0043,0.0,createSchema_report_100_20250326-082521.html,100
/node4,1.2225,0.4341666666666666,1.98,1.98,0.0,0.0,6.5,0.344,0.0,0.0003,0.0,createSchema_report_100_20250326-100633.html,100
/node2,1.1916666666666669,0.4433333333333333,2.09,2.09,0.0,0.0,6.16,0.625,0.0,0.0006,0.0,createSchema_report_100_20250326-100633.html,100
/node6,1.5616666666666663,0.4766666666666666,2.0,2.0,0.0,0.0,5.62,1.39,0.0,0.0014,0.0,createSchema_report_100_20250326-100633.html,100
/node5,1.1166666666666667,0.5075,2.08,2.07,0.0,0.0,5.66,0.414,0.0,0.0004,0.0,createSchema_report_100_20250326-100633.html,100
/node3,1.5425000000000002,0.8441666666666667,2.21,2.21,0.0,0.0,5.8,0.957,0.0,0.0009,0.0,createSchema_report_100_20250326-100633.html,100
/node1,1.09,0.4016666666666666,2.35,2.32,0.0,0.0,5.63,20.2,0.0,0.0197,0.0,createSchema_report_100_20250326-100633.html,100
/node4,1.2225,0.4341666666666666,1.98,1.98,0.0,0.0,6.5,0.344,0.0,0.0003,0.0,createSchema_report_100_20250326-100633.html,100
/node2,1.1916666666666669,0.4433333333333333,2.09,2.09,0.0,0.0,6.16,0.625,0.0,0.0006,0.0,createSchema_report_100_20250326-100633.html,100
/node6,1.5616666666666663,0.4766666666666666,2.0,2.0,0.0,0.0,5.62,1.39,0.0,0.0014,0.0,createSchema_report_100_20250326-100633.html,100
/node5,1.1166666666666667,0.5075,2.08,2.07,0.0,0.0,5.66,0.414,0.0,0.0004,0.0,createSchema_report_100_20250326-100633.html,100
/node3,1.5425000000000002,0.8441666666666667,2.21,2.21,0.0,0.0,5.8,0.957,0.0,0.0009,0.0,createSchema_report_100_20250326-100633.html,100
/node1,1.09,0.4016666666666666,2.35,2.32,0.0,0.0,5.63,20.2,0.0,0.0197,0.0,createSchema_report_100_20250326-100633.html,100
/node4,1.2616666666666667,0.5841666666666666,1.73,1.72,0.0,0.0,5.11,20.0,0.0,0.0195,0.0,createSchema_report_100_20250326-015700.html,100
/node2,0.775,0.3783333333333333,2.85,2.85,0.0,0.0,9.76,60.0,0.0,0.0586,0.0,createSchema_report_100_20250326-015700.html,100
/node6,1.3,0.5133333333333333,1.8,1.8,0.0,0.0,0.695,36.0,0.0,0.0352,0.0,createSchema_report_100_20250326-015700.html,100
/node5,1.1941666666666666,0.5291666666666667,1.74,1.74,0.0,0.0,10.7,40.0,0.0,0.0391,0.0,createSchema_report_100_20250326-015700.html,100
/node3,0.925,0.3633333333333333,1.78,1.78,0.0,0.0,5.48,0.0,0.0,0.0,0.0,createSchema_report_100_20250326-015700.html,100
/node1,0.9433333333333334,0.4716666666666667,3.04,3.04,0.0,0.0,6.47,396.0,0.0,0.3867,0.0,createSchema_report_100_20250326-015700.html,100
/node4,1.2616666666666667,0.5841666666666666,1.73,1.72,0.0,0.0,5.11,20.0,0.0,0.0195,0.0,createSchema_report_100_20250326-015700.html,100
/node2,0.775,0.3783333333333333,2.85,2.85,0.0,0.0,9.76,60.0,0.0,0.0586,0.0,createSchema_report_100_20250326-015700.html,100
/node6,1.3,0.5133333333333333,1.8,1.8,0.0,0.0,0.695,36.0,0.0,0.0352,0.0,createSchema_report_100_20250326-015700.html,100
/node5,1.1941666666666666,0.5291666666666667,1.74,1.74,0.0,0.0,10.7,40.0,0.0,0.0391,0.0,createSchema_report_100_20250326-015700.html,100
/node3,0.925,0.3633333333333333,1.78,1.78,0.0,0.0,5.48,0.0,0.0,0.0,0.0,createSchema_report_100_20250326-015700.html,100
/node1,0.9433333333333334,0.4716666666666667,3.04,3.04,0.0,0.0,6.47,396.0,0.0,0.3867,0.0,createSchema_report_100_20250326-015700.html,100
/node4,1.1816666666666666,0.6158333333333333,2.01,1.98,0.0,0.0,34.6,11.6,0.0,0.0113,0.0,createSchema_report_100_20250326-094059.html,100
/node2,0.9983333333333334,0.4983333333333333,1.95,1.95,0.0,0.0,12.9,4.07,0.0,0.004,0.0,createSchema_report_100_20250326-094059.html,100
/node6,0.8916666666666666,0.4758333333333333,3.59,3.43,0.0,0.0,205.0,10.5,0.0002,0.0103,0.0,createSchema_report_100_20250326-094059.html,100
/node5,0.9233333333333332,0.465,2.07,2.01,0.0,0.0,72.6,14.5,0.0001,0.0142,0.0,createSchema_report_100_20250326-094059.html,100
/node3,0.9025,0.475,2.07,2.03,0.0,0.0,22.6,10.9,0.0,0.0106,0.0,createSchema_report_100_20250326-094059.html,100
/node1,1.3216666666666663,0.6483333333333333,2.67,2.59,0.0,0.0,85.3,19.3,0.0001,0.0188,0.0,createSchema_report_100_20250326-094059.html,100
/node4,1.1816666666666666,0.6158333333333333,2.01,1.98,0.0,0.0,34.6,11.6,0.0,0.0113,0.0,createSchema_report_100_20250326-094059.html,100
/node2,0.9983333333333334,0.4983333333333333,1.95,1.95,0.0,0.0,12.9,4.07,0.0,0.004,0.0,createSchema_report_100_20250326-094059.html,100
/node6,0.8916666666666666,0.4758333333333333,3.59,3.43,0.0,0.0,205.0,10.5,0.0002,0.0103,0.0,createSchema_report_100_20250326-094059.html,100
/node5,0.9233333333333332,0.465,2.07,2.01,0.0,0.0,72.6,14.5,0.0001,0.0142,0.0,createSchema_report_100_20250326-094059.html,100
/node3,0.9025,0.475,2.07,2.03,0.0,0.0,22.6,10.9,0.0,0.0106,0.0,createSchema_report_100_20250326-094059.html,100
/node1,1.3216666666666663,0.6483333333333333,2.67,2.59,0.0,0.0,85.3,19.3,0.0001,0.0188,0.0,createSchema_report_100_20250326-094059.html,100
